run,modem,features,modulation,symbol_rate,ecc,interleaving_depth,burst_rate_per_s,burst_length_ms,raw_ber,post_ecc_ber,clean_decode,aggregate_clean_decode_rate,snr_margin_gain_db_equiv,wf_margin_at_equal_clean_pct
29,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.2735e-04,2.2343e-09,True,0.9667,6.5,0.24
30,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,3.2310e-04,1.3692e-09,True,0.9667,6.5,0.24
31,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.5954e-04,1.3606e-09,True,0.9667,6.5,0.24
32,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.5749e-04,1.8248e-09,True,0.9667,6.5,0.24
33,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.0118e-04,1.9926e-09,True,0.9667,6.5,0.24
34,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.4514e-04,1.0413e-09,True,0.9667,6.5,0.24
35,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.8672e-04,1.2097e-09,True,0.9667,6.5,0.24
36,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.9813e-04,1.6593e-09,True,0.9667,6.5,0.24
37,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.5459e-04,1.1445e-09,False,0.9667,6.5,0.24
38,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,3.0424e-04,1.8598e-09,True,0.9667,6.5,0.24
39,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.4756e-04,8.1554e-10,True,0.9667,6.5,0.24
40,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.7874e-04,8.1590e-10,True,0.9667,6.5,0.24
41,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,3.5630e-04,1.1549e-09,True,0.9667,6.5,0.24
42,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.8038e-04,1.7756e-09,True,0.9667,6.5,0.24
43,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.6682e-04,1.3965e-09,True,0.9667,6.5,0.24
44,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.3118e-04,1.8459e-09,True,0.9667,6.5,0.24
45,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.3217e-04,1.8713e-09,True,0.9667,6.5,0.24
46,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.6351e-04,1.7491e-09,True,0.9667,6.5,0.24
47,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.2237e-04,1.5423e-09,True,0.9667,6.5,0.24
48,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.4600e-04,1.5396e-09,True,0.9667,6.5,0.24
49,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.7904e-04,1.7068e-09,True,0.9667,6.5,0.24
50,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.7307e-04,1.5381e-09,True,0.9667,6.5,0.24
51,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.8500e-04,1.0974e-09,True,0.9667,6.5,0.24
52,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,3.3228e-04,2.5210e-09,True,0.9667,6.5,0.24
53,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.1373e-04,1.4354e-09,True,0.9667,6.5,0.24
54,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.1657e-04,1.2521e-09,True,0.9667,6.5,0.24
55,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.3376e-04,2.1174e-09,True,0.9667,6.5,0.24
56,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,3.0733e-04,1.4075e-09,True,0.9667,6.5,0.24
57,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,3.1604e-04,2.5460e-09,True,0.9667,6.5,0.24
58,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.8922e-04,1.1352e-09,True,0.9667,6.5,0.24
59,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.3733e-04,1.1944e-09,False,0.9667,6.5,0.24
