modulation,symbol_rate,ecc,interleaving_depth,median_raw_ber,median_post_ecc_ber,net_payload_bitrate_bps,payload_MB_per_C60_side,clean_decode_rate,hits_real_lm_threshold,eligible_recommendation
8PSK,2400,hamming74,4,1.9563e-04,1.5535e-08,4114.29,0.926,0.8875,True,False
8PSK,2400,hamming74,16,1.8838e-04,4.1562e-09,4114.29,0.926,0.975,True,True
8PSK,2400,hamming74,64,1.8464e-04,1.1230e-09,4114.29,0.926,1.0,True,True
8PSK,2400,rep3,1,1.8223e-04,3.4196e-08,2400.0,0.54,0.875,True,False
8PSK,2400,rep3,4,1.9563e-04,1.0052e-08,2400.0,0.54,0.925,True,False
8PSK,2400,rep3,16,1.8838e-04,2.6893e-09,2400.0,0.54,1.0,True,True
8PSK,2400,rep3,64,1.8464e-04,7.2662e-10,2400.0,0.54,1.0,True,True
8PSK,2400,rep5,1,1.8223e-04,2.0207e-08,1440.0,0.324,0.9625,True,True
8PSK,2400,rep5,4,1.9563e-04,5.9398e-09,1440.0,0.324,0.975,True,True
8PSK,2400,rep5,16,1.8838e-04,1.5891e-09,1440.0,0.324,1.0,True,True
8PSK,2400,rep5,64,1.8464e-04,4.2937e-10,1440.0,0.324,1.0,True,True
8PSK,4800,none,1,1.8464e-04,3.0278e-07,14400.0,3.24,0.0,True,False
8PSK,4800,none,4,1.9267e-04,1.6847e-07,14400.0,3.24,0.0125,True,False
8PSK,4800,none,16,1.8962e-04,8.2758e-08,14400.0,3.24,0.1125,True,False
8PSK,4800,none,64,1.8428e-04,3.8041e-08,14400.0,3.24,0.4125,True,False
8PSK,4800,hamming74,1,1.8464e-04,5.3112e-08,8228.57,1.851,0.5,True,False
8PSK,4800,hamming74,4,1.9267e-04,1.3951e-08,8228.57,1.851,0.9125,True,False
8PSK,4800,hamming74,16,1.8962e-04,4.7929e-09,8228.57,1.851,0.9625,True,True
8PSK,4800,hamming74,64,1.8428e-04,1.2719e-09,8228.57,1.851,1.0,True,True
8PSK,4800,rep3,1,1.8464e-04,3.4366e-08,4800.0,1.08,0.7875,True,False
8PSK,4800,rep3,4,1.9267e-04,9.0269e-09,4800.0,1.08,0.9625,True,True
8PSK,4800,rep3,16,1.8962e-04,3.1013e-09,4800.0,1.08,0.9875,True,True
8PSK,4800,rep3,64,1.8428e-04,8.2302e-10,4800.0,1.08,1.0,True,True
