modulation,symbol_rate,ecc,interleaving_depth,raw_ber,post_ecc_ber,net_payload_bitrate_bps,payload_MB_per_C60_side,clean_decode_probability_per_side,hits_phase2_ber_target
16QAM,2400,none,1,6.1334e-08,6.1334e-08,9600.0,2.16,0.346505,True
16QAM,2400,none,16,6.1334e-08,2.7600e-08,9600.0,2.16,0.620682,True
16QAM,2400,none,64,6.1334e-08,1.3800e-08,9600.0,2.16,0.787834,True
16QAM,2400,hamming74,1,6.1334e-08,1.9790e-14,5485.71,1.234,1.0,True
16QAM,2400,hamming74,16,6.1334e-08,8.9054e-15,5485.71,1.234,1.0,True
16QAM,2400,hamming74,64,6.1334e-08,4.4527e-15,5485.71,1.234,1.0,True
16QAM,2400,rep3,1,6.1334e-08,1.1286e-14,3200.0,0.72,1.0,True
16QAM,2400,rep3,16,6.1334e-08,5.0786e-15,3200.0,0.72,1.0,True
16QAM,2400,rep3,64,6.1334e-08,2.5393e-15,3200.0,0.72,1.0,True
16QAM,2400,rep5,1,6.1334e-08,2.3073e-21,1920.0,0.432,1.0,True
16QAM,2400,rep5,16,6.1334e-08,1.0383e-21,1920.0,0.432,1.0,True
16QAM,2400,rep5,64,6.1334e-08,5.1915e-22,1920.0,0.432,1.0,True
16QAM,4800,none,1,4.7357e-07,4.7357e-07,19200.0,4.32,0.0,True
16QAM,4800,none,16,4.7357e-07,2.1310e-07,19200.0,4.32,0.000633,True
16QAM,4800,none,64,4.7357e-07,1.0655e-07,19200.0,4.32,0.025161,True
16QAM,4800,hamming74,1,4.7357e-07,1.1773e-12,10971.43,2.469,0.999977,True
16QAM,4800,hamming74,16,4.7357e-07,5.2980e-13,10971.43,2.469,0.99999,True
16QAM,4800,hamming74,64,4.7357e-07,2.6490e-13,10971.43,2.469,0.999995,True
16QAM,4800,rep3,1,4.7357e-07,6.7279e-13,6400.0,1.44,0.999992,True
16QAM,4800,rep3,16,4.7357e-07,3.0276e-13,6400.0,1.44,0.999997,True
16QAM,4800,rep3,64,4.7357e-07,1.5138e-13,6400.0,1.44,0.999998,True
16QAM,4800,rep5,1,4.7357e-07,1.0620e-18,3840.0,0.864,1.0,True
16QAM,4800,rep5,16,4.7357e-07,4.7792e-19,3840.0,0.864,1.0,True
16QAM,4800,rep5,64,4.7357e-07,2.3896e-19,3840.0,0.864,1.0,True
16QAM,7200,none,1,1.5385e-06,1.5385e-06,28800.0,6.48,0.0,True
16QAM,7200,none,16,1.5385e-06,6.9231e-07,28800.0,6.48,0.0,True
